category,question,options,correct_answer
"Marvel","Which fictional metal is used to make Captain America's shield?","A. Adamantium, B. Vibranium, C. Uru, D. Promethium","B"
"Marvel","What is the name of Thor's enchanted hammer in Marvel comics and films?","A. Stormbreaker, B. Mjolnir, C. Gungnir, D. Jarnbjorn","B"
"Marvel","Who is the main antagonist in the film 'Avengers: Infinity War' (2018)?","A. Loki, B. Thanos, C. Ultron, D. Red Skull","B"
"Marvel","Which character is known as the 'God of Mischief' in the Marvel Universe?","A. Thor, B. Loki, C. Hela, D. Odin","B"
"Marvel","In the 'Guardians of the Galaxy' film series, who is a talking raccoon and skilled marksman?","A. Drax the Destroyer, B. Star-Lord, C. Groot, D. Rocket","D"
"Marvel","Who is the primary antagonist in the film 'Black Panther' (2018)?","A. Killmonger, B. Ulysses Klaue, C. M'Baku, D. Okoye","A"
"Marvel","What is the name of Doctor Strange's mentor in the mystic arts?","A. The Ancient One, B. The Sorcerer Supreme, C. The Librarian, D. The Mystic Master","A"
"Marvel","Which character is portrayed by Scarlett Johansson in the Marvel Cinematic Universe?","A. Black Widow, B. Scarlet Witch, C. Gamora, D. Nebula","A"
"Marvel","What is the superhero alias of T'Challa in the Marvel Universe?","A. Falcon, B. Black Panther, C. War Machine, D. Iron Fist","B"
"Marvel","In 'Spider-Man: Homecoming,' who is Peter Parker's best friend and discovers his secret identity?","A. Ned Leeds, B. Flash Thompson, C. Harry Osborn, D. Gwen Stacy","A"
"Marvel","What is the name of the organization led by Nick Fury in the Marvel Cinematic Universe?","A. S.H.I.E.L.D., B. HYDRA, C. A.I.M., D. S.W.O.R.D.","A"
"Marvel","Who is known as the 'Sorcerer Supreme' in Marvel comics and films?","A. Doctor Strange, B. Scarlet Witch, C. Wong, D. Ancient One","A"
"Marvel","What is the name of the sentient alien costume that bonds with Eddie Brock to become Venom?","A. Carnage, B. Riot, C. Toxin, D. Venom","D"
"Marvel","Who is the half-brother of Thor and the God of Mischief in Norse mythology and Marvel comics?","A. Odin, B. Hela, C. Loki, D. Frigga","C"
"Marvel","In the 'X-Men' film series, who is the leader of the X-Men and known for his optic blasts?","A. Cyclops, B. Wolverine, C. Professor X, D. Magneto","A"
"Marvel","Which superhero possesses superhuman strength, agility, and the ability to stick to walls?","A. Iron Man, B. Spider-Man, C. Ant-Man, D. Black Panther","B"
"Marvel","Who is the director of 'The Avengers' (2012) and 'Avengers: Age of Ultron' (2015)?","A. Joss Whedon, B. James Gunn, C. Taika Waititi, D. Jon Favreau","A"
"Marvel","What is the name of the artifact that holds the Time Stone in Marvel comics and films?","A. Orb, B. Aether, C. Eye of Agamotto, D. Tesseract","C"
